,Pokemon Id,Pokedex Number,Name,Classification,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
0,1,1,Bulbasaur,"""Seed Pokemon""",0.7,6.9,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",,,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,87.5,12.5,70,"""Red""","""Kanto""",45,49,49,65,65,45,318,0,0,0,1,0,0,1,45,"""Medium Slow""",1059860,64,"""Monster""","""Grass""",20,,,1,Grass,Poison,318,45,49,49,65,65,45,1,False
1,2,2,Ivysaur,"""Seed Pokemon""",1.0,13.0,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",,,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,87.5,12.5,70,"""Red""","""Kanto""",60,62,63,80,80,60,405,0,0,0,1,1,0,2,45,"""Medium Slow""",1059860,142,"""Monster""","""Grass""",20,1.0,"""Level 16""",2,Grass,Poison,405,60,62,63,80,80,60,1,False
2,3,3,Venusaur,"""Seed Pokemon""",2.0,100.0,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",,,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,87.5,12.5,70,"""Red""","""Kanto""",80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,"""Medium Slow""",1059860,236,"""Monster""","""Grass""",20,2.0,"""Level 32""",3,Grass,Poison,525,80,82,83,100,100,80,1,False
3,5,4,Charmander,"""Lizard Pokemon""",0.6,8.5,"""Fire""",,"""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,,,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",87.5,12.5,70,"""Red""","""Kanto""",39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,"""Medium Slow""",1059860,62,"""Monster""","""Dragon""",20,,,4,Fire,,309,39,52,43,60,50,65,1,False
4,6,5,Charmeleon,"""Flame Pokemon""",1.1,19.0,"""Fire""",,"""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,,,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",87.5,12.5,70,"""Red""","""Kanto""",58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,"""Medium Slow""",1059860,142,"""Monster""","""Dragon""",20,5.0,"""Level 16""",5,Fire,,405,58,64,58,80,65,80,1,False
5,7,6,Charizard,"""Flame Pokemon""",1.7,90.5,"""Fire""","""Flying""","""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,,,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",87.5,12.5,70,"""Red""","""Kanto""",78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,"""Medium Slow""",1059860,240,"""Monster""","""Dragon""",20,6.0,"""Level 32""",6,Fire,Flying,534,78,84,78,109,85,100,1,False
6,10,7,Squirtle,"""Tiny Turtle Pokemon""",0.5,9.0,"""Water""",,"""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,,,"""Rain Dish""","""The Pokémon gradually regains HP in rain. """,87.5,12.5,70,"""Red""","""Kanto""",44,48,65,50,64,43,314,0,0,1,0,0,0,1,45,"""Medium Slow""",1059860,63,"""Monster""","""Water 1""",20,,,7,Water,,314,44,48,65,50,64,43,1,False
7,11,8,Wartortle,"""Turtle Pokemon""",1.0,22.5,"""Water""",,"""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,,,"""Rain Dish""","""The Pokémon gradually regains HP in rain. """,87.5,12.5,70,"""Red""","""Kanto""",59,63,80,65,80,58,405,0,0,1,0,1,0,2,45,"""Medium Slow""",1059860,142,"""Monster""","""Water 1""",20,10.0,"""Level 16""",8,Water,,405,59,63,80,65,80,58,1,False
8,12,9,Blastoise,"""Shellfish Pokemon""",1.6,85.5,"""Water""",,"""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,,,"""Rain Dish""","""The Pokémon gradually regains HP in rain. """,87.5,12.5,70,"""Red""","""Kanto""",79,83,100,85,105,78,530,0,0,0,0,3,0,3,45,"""Medium Slow""",1059860,239,"""Monster""","""Water 1""",20,11.0,"""Level 32""",9,Water,,530,79,83,100,85,105,78,1,False
9,32,10,Caterpie,"""Worm Pokemon""",0.3,2.9,"""Bug""",,"""Shield Dust""","""This Pokémon's dust blocks the additional effects of attacks taken.""",,,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",50.0,50.0,70,"""Red""","""Kanto""",45,30,35,20,20,45,195,1,0,0,0,0,0,1,255,"""Medium Fast""",1000000,39,"""Bug""",,15,,,10,Bug,,195,45,30,35,20,20,45,1,False
